exercise_name,variation_name,difficulty_level,target_muscle_group,prime_mover_muscle,secondary_muscle,tertiary_muscle,primary_equipment,num_primary_items,secondary_equipment,num_secondary_items,posture,single_or_double_arm,continuous_or_alternating_arms,grip,load_position_ending,continuous_or_alternating_legs,foot_elevation,combination_exercises,movement_pattern_1,movement_pattern_2,movement_pattern_3,plane_of_motion_1,plane_of_motion_2,plane_of_motion_3,body_region,force_type,mechanics,laterality,primary_exercise_classification,time_or_reps,num_sets,time_per_set,rest_time,total_time_seconds,num_reps_per_set,URL
Bodyweight Bird Dog,3 sets of 20 sec holds with 30 sec rest,Beginner,Abdominals,Rectus Abdominis,Gluteus Maximus,Erector Spinae,Bodyweight,1,,0,Quadruped,Single Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural,time,3.0,20.0,30.0,120.0,,https://youtu.be/-LRjkbEy-qU
Bodyweight Bird Dog,4 sets of 30 sec holds with 45 sec rest,Beginner,Abdominals,Rectus Abdominis,Gluteus Maximus,Erector Spinae,Bodyweight,1,,0,Quadruped,Single Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural,time,4.0,30.0,45.0,255.0,,https://youtu.be/-LRjkbEy-qU
Bodyweight Bird Dog,3 sets of 8 reps  with 30 sec rest,Beginner,Abdominals,Rectus Abdominis,Gluteus Maximus,Erector Spinae,Bodyweight,1,,0,Quadruped,Single Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural,rep,3.0,24.0,30.0,132.0,8.0,https://youtu.be/-LRjkbEy-qU
Bodyweight Bird Dog,4 sets of 12 reps  with 45 sec rest,Beginner,Abdominals,Rectus Abdominis,Gluteus Maximus,Erector Spinae,Bodyweight,1,,0,Quadruped,Single Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural,rep,4.0,36.0,45.0,279.0,12.0,https://youtu.be/-LRjkbEy-qU
Bodyweight Bird Dog,2 sets of 45 sec holds with 60 sec rest,Beginner,Abdominals,Rectus Abdominis,Gluteus Maximus,Erector Spinae,Bodyweight,1,,0,Quadruped,Single Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural,time,2.0,45.0,60.0,150.0,,https://youtu.be/-LRjkbEy-qU
Stability Ball Russian Twist,3 sets of 15 reps with 60s rest,Beginner,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Stability Ball,1,,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,rep,3.0,30.0,60.0,210.0,15.0,
Stability Ball Russian Twist,4 sets of 20 reps with 45s rest,Beginner,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Stability Ball,1,,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,rep,4.0,40.0,45.0,265.0,20.0,
Stability Ball Russian Twist,3 sets of 30 seconds twisting with 30s rest,Beginner,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Stability Ball,1,,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,time,3.0,30.0,30.0,150.0,,
Stability Ball Russian Twist,4 sets of 45 seconds twisting with 45s rest,Beginner,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Stability Ball,1,,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,time,4.0,45.0,45.0,315.0,,
Stability Ball Russian Twist,5 sets of 60 seconds twisting with 60s rest,Beginner,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Stability Ball,1,,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,time,5.0,60.0,60.0,540.0,,
Stability Ball Feet Elevated Crunch,3 sets of 12 reps with 60 seconds rest,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Stability Ball,1,,0,Supine,No Arms,Continuous,Head Supported,No Load,Continuous,Feet Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,Unsorted*,rep,3.0,48.0,60.0,324.0,12.0,
Stability Ball Feet Elevated Crunch,4 sets of 15 reps with 60 seconds rest,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Stability Ball,1,,0,Supine,No Arms,Continuous,Head Supported,No Load,Continuous,Feet Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,Unsorted*,rep,4.0,60.0,60.0,480.0,15.0,
Stability Ball Feet Elevated Crunch,3 sets of 15 reps with 30 seconds rest,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Stability Ball,1,,0,Supine,No Arms,Continuous,Head Supported,No Load,Continuous,Feet Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,Unsorted*,rep,3.0,60.0,30.0,270.0,15.0,
Stability Ball Feet Elevated Crunch,3 sets of 45 seconds crunches with 30 seconds rest,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Stability Ball,1,,0,Supine,No Arms,Continuous,Head Supported,No Load,Continuous,Feet Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,Unsorted*,time,3.0,45.0,30.0,225.0,,
Stability Ball Feet Elevated Crunch,3 sets of 30 seconds slow crunch holds with 45 seconds rest,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Stability Ball,1,,0,Supine,No Arms,Continuous,Head Supported,No Load,Continuous,Feet Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,Unsorted*,time,3.0,30.0,45.0,225.0,,
Ring Hanging Knee Raise,3 sets of 10 reps with 60 seconds rest,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Rectus Femoris,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,rep,3.0,30.0,60.0,210.0,10.0,
Ring Hanging Knee Raise,4 sets of 8 reps with 90 seconds rest,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Rectus Femoris,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,rep,4.0,28.0,90.0,382.0,8.0,
Ring Hanging Knee Raise,5 sets of 6 reps with 90 seconds rest,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Rectus Femoris,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,rep,5.0,24.0,90.0,480.0,6.0,
Ring Hanging Knee Raise,3 sets of 30 seconds continuous movement with 60 seconds rest,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Rectus Femoris,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,time,3.0,30.0,60.0,210.0,,
Ring Hanging Knee Raise,4 sets of 40 seconds continuous movement with 90 seconds rest,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Rectus Femoris,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,time,4.0,40.0,90.0,430.0,,
Parallette Mountain Climber," 3 sets, 20s work, 40s rest",Novice,Abdominals,Rectus Abdominis,Iliopsoas,Anterior Deltoids,Parallette Bars,2,,0,Prone,Double Arm,Continuous,Neutral,No Load,Alternating,No Elevation,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,time,3.0,20.0,40.0,140.0,,https://youtu.be/W0RoAqlFzrA
Parallette Mountain Climber," 4 sets, 30s work, 30s rest",Novice,Abdominals,Rectus Abdominis,Iliopsoas,Anterior Deltoids,Parallette Bars,2,,0,Prone,Double Arm,Continuous,Neutral,No Load,Alternating,No Elevation,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,time,4.0,30.0,30.0,210.0,,https://youtu.be/W0RoAqlFzrA
Parallette Mountain Climber," 5 sets, 40s work, 30s rest",Novice,Abdominals,Rectus Abdominis,Iliopsoas,Anterior Deltoids,Parallette Bars,2,,0,Prone,Double Arm,Continuous,Neutral,No Load,Alternating,No Elevation,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,time,5.0,40.0,30.0,320.0,,https://youtu.be/W0RoAqlFzrA
Parallette Mountain Climber," 4 sets, 45s work, 45s rest",Novice,Abdominals,Rectus Abdominis,Iliopsoas,Anterior Deltoids,Parallette Bars,2,,0,Prone,Double Arm,Continuous,Neutral,No Load,Alternating,No Elevation,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,time,4.0,45.0,45.0,315.0,,https://youtu.be/W0RoAqlFzrA
Parallette Mountain Climber," 5 sets, 60s work, 60s rest",Novice,Abdominals,Rectus Abdominis,Iliopsoas,Anterior Deltoids,Parallette Bars,2,,0,Prone,Double Arm,Continuous,Neutral,No Load,Alternating,No Elevation,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,time,5.0,60.0,60.0,540.0,,https://youtu.be/W0RoAqlFzrA
Parallette Push Up,3 sets of 8 reps with 60 seconds rest,Novice,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars,2,,0,Prone,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics,rep,3.0,24.0,60.0,192.0,8.0,https://youtu.be/Jrh9F8L2NJ4
Parallette Push Up,4 sets of 10 reps with 60 seconds rest,Novice,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars,2,,0,Prone,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics,rep,4.0,30.0,60.0,300.0,10.0,https://youtu.be/Jrh9F8L2NJ4
Parallette Push Up,5 sets of 12 reps with 45 seconds rest,Novice,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars,2,,0,Prone,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics,rep,5.0,36.0,45.0,360.0,12.0,https://youtu.be/Jrh9F8L2NJ4
Parallette Push Up,3 sets of 5 reps with 90 seconds rest,Novice,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars,2,,0,Prone,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics,rep,3.0,15.0,90.0,225.0,5.0,https://youtu.be/Jrh9F8L2NJ4
Parallette Push Up,4 sets of 15 reps with 45 seconds rest,Novice,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars,2,,0,Prone,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics,rep,4.0,45.0,45.0,315.0,15.0,https://youtu.be/Jrh9F8L2NJ4
Bodyweight Knee Hover Bird Dog,4 sets of 30 seconds hold with 45 seconds rest,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Erector Spinae,Bodyweight,1,,0,Knee Hover Quadruped,Single Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural,time,4.0,30.0,45.0,300.0,,https://youtu.be/fGaqVUHB1aA
Bodyweight Knee Hover Bird Dog,3 sets of 40 seconds hold with 60 seconds rest,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Erector Spinae,Bodyweight,1,,0,Knee Hover Quadruped,Single Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural,time,3.0,40.0,60.0,300.0,,https://youtu.be/fGaqVUHB1aA
Bodyweight Knee Hover Bird Dog,5 sets of 20 seconds hold with 30 seconds rest,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Erector Spinae,Bodyweight,1,,0,Knee Hover Quadruped,Single Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural,time,5.0,20.0,30.0,215.0,,https://youtu.be/fGaqVUHB1aA
Bodyweight Knee Hover Bird Dog,3 sets of 8 reps  with 45 seconds rest,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Erector Spinae,Bodyweight,1,,0,Knee Hover Quadruped,Single Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural,rep,3.0,32.0,45.0,186.0,8.0,https://youtu.be/fGaqVUHB1aA
Bodyweight Knee Hover Bird Dog,4 sets of 6 reps  with 60 seconds rest,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Erector Spinae,Bodyweight,1,,0,Knee Hover Quadruped,Single Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural,rep,4.0,24.0,60.0,216.0,6.0,https://youtu.be/fGaqVUHB1aA
Stability Ball V Up Pass,3 sets of 12 reps with 45 seconds rest,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Stability Ball,1,,0,Supine,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,rep,3.0,36.0,45.0,198.0,12.0,https://youtu.be/Lrmlsxk3zx4
Stability Ball V Up Pass,4 sets of 8 reps with 30 seconds rest,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Stability Ball,1,,0,Supine,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,rep,4.0,24.0,30.0,186.0,8.0,https://youtu.be/Lrmlsxk3zx4
Stability Ball V Up Pass,3 sets of 15 reps with 60 seconds rest,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Stability Ball,1,,0,Supine,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,rep,3.0,45.0,60.0,255.0,15.0,https://youtu.be/Lrmlsxk3zx4
Stability Ball V Up Pass,3 sets of 30 seconds work with 30 seconds rest,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Stability Ball,1,,0,Supine,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,time,3.0,30.0,30.0,150.0,,https://youtu.be/Lrmlsxk3zx4
Stability Ball V Up Pass,2 sets of 45 seconds work with 45 seconds rest,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Stability Ball,1,,0,Supine,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,time,2.0,45.0,45.0,135.0,,https://youtu.be/Lrmlsxk3zx4
Bodyweight Dead Bug,4 sets of 30 seconds each with 30 seconds rest,Beginner,Abdominals,Rectus Abdominis,Obliques,Rectus Femoris,Bodyweight,1,,0,Supine,Single Arm,Alternating,No Grip,No Load,Alternating,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural,time,4.0,30.0,30.0,240.0,,https://youtu.be/g_BYB0R-4Ws
Bodyweight Dead Bug,3 sets of 45 seconds each with 45 seconds rest,Beginner,Abdominals,Rectus Abdominis,Obliques,Rectus Femoris,Bodyweight,1,,0,Supine,Single Arm,Alternating,No Grip,No Load,Alternating,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural,time,3.0,45.0,45.0,270.0,,https://youtu.be/g_BYB0R-4Ws
Bodyweight Dead Bug,3 sets of 60 seconds each with 60 seconds rest,Beginner,Abdominals,Rectus Abdominis,Obliques,Rectus Femoris,Bodyweight,1,,0,Supine,Single Arm,Alternating,No Grip,No Load,Alternating,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural,time,3.0,60.0,60.0,360.0,,https://youtu.be/g_BYB0R-4Ws
Bodyweight Dead Bug,3 sets of 12 reps each  with 40 seconds rest,Beginner,Abdominals,Rectus Abdominis,Obliques,Rectus Femoris,Bodyweight,1,,0,Supine,Single Arm,Alternating,No Grip,No Load,Alternating,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural,rep,3.0,24.0,40.0,192.0,12.0,https://youtu.be/g_BYB0R-4Ws
Bodyweight Dead Bug,4 sets of 8 reps each  with 30 seconds rest,Beginner,Abdominals,Rectus Abdominis,Obliques,Rectus Femoris,Bodyweight,1,,0,Supine,Single Arm,Alternating,No Grip,No Load,Alternating,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural,rep,4.0,16.0,30.0,184.0,8.0,https://youtu.be/g_BYB0R-4Ws
Bodyweight Alternating Heel Taps,"3 sets of 30 seconds per set, 45 seconds rest between sets",Beginner,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,1,,0,Supine,Double Arm,Alternating,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lateral Flexion,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,time,3.0,30.0,45.0,225.0,,https://youtu.be/IVppNiu0hvw
Bodyweight Alternating Heel Taps,"4 sets of 40 seconds per set, 30 seconds rest between sets",Beginner,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,1,,0,Supine,Double Arm,Alternating,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lateral Flexion,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,time,4.0,40.0,30.0,280.0,,https://youtu.be/IVppNiu0hvw
Bodyweight Alternating Heel Taps,"3 sets of 12 reps per set, 60 seconds rest between sets",Beginner,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,1,,0,Supine,Double Arm,Alternating,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lateral Flexion,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,rep,3.0,24.0,60.0,132.0,12.0,https://youtu.be/IVppNiu0hvw
Bodyweight Alternating Heel Taps,"4 sets of 15 reps per set, 45 seconds rest between sets",Beginner,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,1,,0,Supine,Double Arm,Alternating,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lateral Flexion,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,rep,4.0,30.0,45.0,255.0,15.0,https://youtu.be/IVppNiu0hvw
Bodyweight Alternating Heel Taps,"5 sets of 45 seconds per set, 30 seconds rest between sets",Beginner,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,1,,0,Supine,Double Arm,Alternating,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lateral Flexion,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,time,5.0,45.0,30.0,345.0,,https://youtu.be/IVppNiu0hvw
Bodyweight Flutter Kicks,"3 sets, 20 seconds per set, 30 seconds rest between sets",Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,1,,0,Supine,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,time,3.0,20.0,30.0,120.0,,https://youtu.be/DNx0PYv7_L8
Bodyweight Flutter Kicks,"4 sets, 30 seconds per set, 30 seconds rest between sets",Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,1,,0,Supine,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,time,4.0,30.0,30.0,210.0,,https://youtu.be/DNx0PYv7_L8
Bodyweight Flutter Kicks,"5 sets, 15 seconds per set, 20 seconds rest between sets",Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,1,,0,Supine,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,time,5.0,15.0,20.0,155.0,,https://youtu.be/DNx0PYv7_L8
Bodyweight Flutter Kicks,"3 sets, 40 reps per set , 30 seconds rest between sets",Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,1,,0,Supine,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,rep,3.0,20.0,30.0,120.0,40.0,https://youtu.be/DNx0PYv7_L8
